,lat,lon,Date_Mid_Greenup_Phase_1,Date_Mid_Senescence_Phase_1,EVI2_Growing_Season_Area_1,EVI2_Onset_Greenness_Increase_1,EVI2_Onset_Greenness_Maximum_1,Growing_Season_Length_1,Onset_Greenness_Increase_1,Onset_Greenness_Maximum_1,Rate_Greenness_Decrease_1,Rate_Greenness_Increase_1,lat_x,lon_x,year_x,temp_all,temp_spring,temp_autumn,temp_summer,Unnamed..0,AOT40_all,O3_all,AOT40_spring,O3_spring,AOT40_autumn,O3_autumn,AOT40_summer,O3_summer,LC_Prop1,LC_Prop2,LC_Prop3,LC_Type1,LC_Type2,LC_Type3,LC_Type4,LC_Type5,year_y,co2_spring,co2_summer,co2_autumn,co2_all
0,19.5167,109.5726,139.5,276,16.98,0.2252,0.3307,221.5,82,191.5,0.0028,0.00105,19.5167,109.5726,2021.5,297.1214679,296.9917764,299.5730415,300.7929565,1864,9611.4001,24.49061975,1234.511,23.85816446,3000.4806,20.69886665,1128.5596,20.03780363,22,9,20,13,13,10,8,9,2021,411.8258185,412.7225256,411.9346413,412.0702931
1,19.9736,110.5111,119.5,304.5,40.855,0.357,0.5489,281,88,151.5,0.00295,0.00415,19.9736,110.5111,2021.5,298.0032135,297.3754959,300.714164,301.7050956,1862,21670.4717,27.92973806,4070.4894,28.08775555,6190.2019,22.16452553,1748.5167,17.91762445,22,20,20,9,9,4,2,2,2021,412.1345846,413.1400637,412.3675899,412.2440187
2,19.9969,110.338,86.6,309,21.772,0.16816,0.25876,292.4,46.2,134.2,0.0028,0.00154,19.9969,110.338,2018.2,298.3421683,297.7639084,301.037583,301.9759744,405,20311.0162,27.9941832,3735.08044,26.6570901,6097.40996,25.4527465,2382.56872,21.56110347,22,9,20,13,13,10,8,9,2018.2,405.1699041,406.936364,406.0437161,405.5958154
3,20.0053,110.283,129,302.6,27.776,0.21354,0.34044,264.6,78,186.8,0.00254,0.00146,20.0053,110.283,2018.2,298.3283148,297.7809914,301.0223499,301.9831563,404,16076.78868,25.47020833,2518.64024,23.66970518,4899.19152,22.8961304,1811.1986,19.35987735,22,9,20,13,13,10,8,9,2018.2,405.0184667,406.6261405,405.8884209,405.5200979
4,20.0356,110.33,128.8333333,315.8333333,17.84166667,0.1395,0.214766667,250.5,80.5,188,0.0037,0.000966667,20.0356,110.33,2018,298.2489627,297.5729149,300.9847741,301.9151143,405.8333333,20260.51247,26.62173611,4181.252367,25.83451728,5707.176,22.97876017,2042.145533,19.18395424,22,9,20,13,13,10,8,9,2018,404.5877868,406.2272819,405.5732522,405.1131566
5,20.0574,110.3232,133,290.3333333,25.75,0.1737,0.2485,277,97.66666667,179.6666667,0.001566667,0.006666667,20.0574,110.3232,2017.333333,298.159328,297.2855408,300.9149435,301.701029,402.3333333,35046.15827,32.2345825,8753.068133,30.96299538,9825.196333,28.71092476,4069.725533,24.70595071,22,9,20,13,13,10,8,9,2017.333333,403.2381185,404.836428,404.3251271,403.765986
6,21.2567,110.4558,124.25,313.25,31.0075,0.2404,0.3713,230,103.25,145.25,0.0028,0.00555,21.2567,110.4558,2018.25,297.3004387,296.8725393,300.3077678,301.3609497,603,34535.87075,32.70686825,8721.99795,31.33602895,10894.8952,31.69221726,7111.4378,28.67418006,28.75,9,27.5,13,13,10,8,9,2018.25,404.2676392,405.9258827,405.4793972,404.9750187
7,21.2679,110.3316,122,288,26.76,0.25155,0.379675,247.5,79.75,160.75,0.002525,0.00505,21.2679,110.3316,2017.5,297.3709205,296.6535889,300.5248915,301.5341272,601.75,31130.08665,29.78203757,6530.825,26.66733136,12049.20025,30.80820237,6791.9968,26.71598162,22,9,20,13,13,10,8,9,2017.5,402.5552753,404.8278006,404.2829005,403.5658076
8,21.2706,110.3539,124.25,272.25,15.59,0.182825,0.27225,212,89,169.75,0.004175,0.00635,21.2706,110.3539,2017.5,297.3709205,296.6535889,300.5248915,301.5341272,597.75,28005.39025,29.62768736,7438.9147,28.91066641,8833.5093,28.6322657,4975.0217,25.18217434,22,9,20,13,13,10,8,9,2017.5,402.5552753,404.8278006,404.2829005,403.5658076
9,21.4661,109.0981,130.4,296.6,21.744,0.17858,0.27898,251.8,76.6,186.4,0.00242,0.00134,21.4661,109.0981,2019,297.2657515,296.3743858,300.902488,302.051894,785.2,26790.92284,31.89338934,5439.0254,30.66713664,7768.3186,30.02414588,4947.96132,28.57670993,22,9,20,13,13,10,8,9,2019,405.862616,407.4241995,407.1351257,406.4862689
10,21.4688,111.0286,126.8,304,28.132,0.1997,0.34656,248.8,84.6,175.8,0.0031,0.00326,21.4688,111.0286,2018.6,297.2512135,296.2248413,300.642975,301.5349574,604,26059.8286,29.62390263,6576.00932,28.63932834,7418.1656,27.36162748,4327.76312,24.57554099,22,9,20,13,13,10,8,9,2018.6,405.3099358,407.1528732,406.6671303,406.1322101
11,21.5233,109.1778,153,266,10.72,0.2268,0.343,151,99,226,0.0045,0.0011,21.5233,109.1778,2019,297.6234835,297.1184943,300.9185269,301.8450373,786,17996.38,25.60612643,2310.742,22.12775443,7272.9224,26.70002599,4082.5022,24.62074313,22,9,20,13,13,10,8,9,2019,405.7185652,407.283791,406.9231218,406.4338015
