,lat,lon,AOT40_spring,AOT40_autumn,AOT40_summer,AOT40_all
0,25.587326,-80.32592,7704.5,630.0,153.75,9877.5
1,25.892517,-97.49383,3706.333333,1514.333333,806.6666667,5745.666667
2,26.073536,-80.33845,6479.0,329.5,112.0,7701.0
3,26.22621,-98.29107,2474.8,1661.8,1307.6,5145.6
4,26.270082,-81.71096,6613.0,792.3333333,336.3333333,8628.666667
5,26.291088,-80.09635,6259.666667,1024.0,356.0,8681.666667
6,26.548212,-81.98152,8653.0,1059.666667,455.6666667,11171.66667
7,26.730833,-80.23389,4257.0,561.0,200.0,5207.0
8,27.089193,-82.36258,8165.0,487.0,464.0,11104.0
9,27.189215,-81.34035,7339.222222,489.7777778,198.0,9204.444444
10,27.350279,-82.47972,7726.0,1272.666667,903.6666667,10519.22222
11,27.449762,-82.52204,6999.6,1827.0,1270.0,10141.8
12,27.517456,-99.51522,4877.0,2266.0,2496.0,9393.0
13,27.785866,-82.739876,8562.25,2155.75,1698.25,12020.25
14,27.832413,-97.55539,5151.8,2493.8,2289.8,9207.6
15,27.892523,-82.53843,11618.0,3273.25,2886.75,17271.25
16,27.928356,-82.45454,5463.2,2578.4,1852.4,9076.6
17,27.939747,-82.000084,8087.666667,1300.666667,1142.888889,10791.44444
18,27.946688,-82.731766,9302.166667,2168.5,1721.333333,13241.33333
19,27.96565,-82.2304,9757.857143,2167.857143,1955.857143,14052.71429
20,28.028889,-81.97222,8772.0,1541.75,1653.5,12077.0
21,28.053612,-80.62861,6030.0,477.0,351.5,7900.0
22,28.0903,-82.70071,7292.285714,1306.714286,1030.142857,9901.571429
23,28.195574,-82.75626,10387.0,1832.4,1570.8,14148.8
24,28.31084,-80.61533,11640.0,2817.0,2098.0,16580.0
25,28.332226,-82.30564,7799.142857,1004.285714,1025.428571,10234.14286
26,28.34751,-81.63647,7695.833333,1765.333333,1312.333333,10598.0
27,28.45445,-81.38118,7124.0,1760.4,1493.8,9673.4
28,28.52389,-81.723335,9396.75,1504.75,1344.5,12918.5
29,28.59639,-81.3625,7754.0,2198.666667,2134.0,11182.83333
30,28.74611,-81.310555,7966.0,2106.5,1667.0,11522.5
31,28.836214,-97.00552,4371.625,3528.75,3131.625,9724.75
32,29.043758,-95.472946,6602.888889,2806.666667,2814.444444,11615.33333
33,29.109152,-80.99367,7116.0,939.0,494.0,8909.0
34,29.170532,-82.10065,7809.142857,968.1428571,1123.428571,10074.42857
35,29.30265,-103.17781,13781.0,9868.0,10433.5,27212.5
36,29.489082,-81.27683,6427.333333,1228.0,774.0,8619.333333
37,29.51509,-98.62016,7045.875,6969.0,6463.375,16275.25
38,29.544722,-82.29611,6679.5,855.25,704.25,8538.0
39,29.583048,-95.01554,4788.777778,3939.333333,3967.111111,10272.55556
40,29.62389,-95.47417,5157.571429,5048.571429,4787.857143,12096.14286
41,29.625557,-95.26722,3579.888889,3535.888889,3762.666667,8342.888889
42,29.632057,-98.56493,8390.2,7817.7,7581.5,19072.6
43,29.670025,-95.12851,5526.2,4869.8,5134.1,12521.7
44,29.68639,-95.29472,4779.625,5582.125,5636.5,12075.125
45,29.695728,-95.49922,6091.875,6295.75,6407.25,14734.875
46,29.723333,-95.63583,5606.555556,5968.555556,5611.0,13570.0
47,29.72793,-93.89408,6829.4,3564.2,3871.0,12472.0
48,29.733727,-95.25759,3590.222222,4525.555556,4589.555556,9528.444444
49,29.767998,-95.22058,5455.4,4464.8,4956.6,12046.6
50,29.802708,-95.125496,4838.142857,4170.857143,4395.428571,10480.57143
51,29.823318,-94.98379,7149.571429,5373.0,5612.0,14769.71429
52,29.828087,-95.284096,3399.111111,3610.666667,3800.444444,8220.333333
53,29.834167,-95.48917,5429.0,5847.666667,5934.333333,13337.33333
54,29.863956,-94.3178,8836.0,4755.0,4735.0,15441.0
55,29.867756,-93.951164,5072.333333,3476.666667,3512.666667,9845.666667
56,29.897516,-93.99108,6345.0,4181.857143,4007.571429,12456.0
57,29.901035,-95.32613,6825.25,5412.0,5859.25,14687.75
58,29.939613,-89.92388,7756.375,3744.5,4112.625,13778.625
59,29.9425,-94.00056,8019.333333,4263.333333,4607.0,14831.66667
60,29.978926,-94.01087,6042.571429,3111.428571,3164.857143,10891.85714
61,29.979958,-94.004745,1540.0,699.0,1966.0,3506.0
62,29.984371,-90.41064,5501.0,3839.5,3866.5,10735.5
63,29.993519,-90.10155,6857.0,3873.0,4208.0,12451.5
64,30.036423,-94.07106,5829.333333,3592.444444,3563.555556,11232.44444
65,30.041239,-90.27283,6627.222222,4346.111111,4749.111111,13383.55556
66,30.085262,-93.76134,5169.0,2680.1,2852.9,9353.5
67,30.0925,-84.16111,7795.4,948.6,670.0,9530.6
68,30.1103,-84.9903,5262.0,1502.0,1271.0,7472.0
69,30.140265,-93.36845,6598.6,3284.4,3425.2,11706.4
70,30.178057,-82.61916,6656.666667,1129.555556,1164.222222,8904.888889
71,30.194166,-93.86694,6357.0,3516.666667,3387.666667,11359.0
72,30.20111,-82.44111,6669.333333,953.6666667,971.6666667,8592.0
73,30.221254,-91.315414,7737.6,3471.9,3567.4,13817.6
74,30.22611,-92.04291,8311.0,4031.4,3920.6,14578.4
75,30.229652,-90.96563,6563.3,3638.8,3785.9,12101.1
76,30.260279,-81.45361,6982.0,2198.142857,2100.142857,10330.14286
77,30.262604,-93.28509,6093.0,2712.0,2957.0,9891.0
78,30.315407,-90.811386,8789.428571,4131.571429,4030.714286,15519.57143
79,30.350302,-95.425125,8581.75,6417.0,6503.625,18003.875
80,30.354944,-97.7618,6772.714286,6746.857143,6653.142857,15925.28571
81,30.36805,-87.270966,10414.83333,4034.166667,4778.833333,17080.83333
82,30.378218,-81.8409,7266.5,1526.5,1667.25,9968.875
83,30.378286,-88.53393,8591.25,4015.75,4770.625,14026.0
84,30.39037,-89.04978,7243.666667,4025.888889,4417.0,12572.22222
85,30.419806,-91.182014,5538.75,5247.0,5799.25,12851.375
86,30.42938,-90.19968,7965.142857,3102.428571,3182.285714,12940.28571
87,30.439722,-84.34639,6184.111111,1389.222222,1449.333333,8610.222222
88,30.46198,-91.17922,5614.666667,3606.555556,3646.888889,10700.22222
89,30.477724,-81.58734,7160.0,1428.0,1785.833333,9864.5
90,30.483164,-97.875084,6714.5,6379.5,5637.0,14960.0
91,30.484444,-84.19945,5844.0,1632.666667,1329.333333,8339.666667
92,30.497478,-87.88026,6634.666667,3319.166667,3843.666667,11072.83333
93,30.681719,-91.36625,6022.625,2294.125,2287.375,9937.125
